gene name,hyb1,hyb2,hyb3,hyb4
fake0,1,1,1,3.0
fake1,1,1,9,2.0
fake2,1,2,3,6.0
fake3,1,2,8,2.0
fake4,1,3,4,8.0
fake5,1,3,5,9.0
fake6,1,3,6,1.0
fake7,1,3,8,3.0
fake8,1,3,9,4.0
fake9,1,4,1,6.0
fake10,1,4,3,8.0
fake11,1,4,7,3.0
fake12,1,5,3,9.0
fake13,1,5,9,6.0
fake14,1,6,1,8.0
fake15,1,6,5,3.0
fake16,1,7,1,9.0
fake17,1,7,3,2.0
fake18,1,8,2,2.0
fake19,1,8,3,3.0
fake20,1,8,8,8.0
fake21,1,9,2,3.0
fake22,1,9,3,4.0
fake23,1,9,6,7.0
fake24,1,9,8,9.0
fake25,2,1,1,4.0
fake26,2,1,8,2.0
fake27,2,1,9,3.0
fake28,2,2,2,6.0
fake29,2,3,1,6.0
fake30,2,3,5,1.0
fake31,2,4,5,2.0
fake32,2,4,9,6.0
fake33,2,6,4,3.0
fake34,2,6,7,6.0
fake35,2,6,8,7.0
fake36,2,7,5,5.0
fake37,2,7,6,6.0
fake38,2,7,7,7.0
fake39,2,8,1,2.0
fake40,2,8,2,3.0
fake41,2,8,5,6.0
fake42,2,8,6,7.0
fake43,2,9,1,3.0
fake44,2,9,3,5.0
fake45,2,9,4,6.0
fake46,2,9,7,9.0
fake47,3,1,1,5.0
fake48,3,1,9,4.0
fake49,3,2,1,6.0
fake50,3,2,3,8.0
fake51,3,2,4,9.0
fake52,3,2,9,5.0
fake53,3,3,1,7.0
fake54,3,3,3,9.0
fake55,3,3,4,1.0
fake56,3,3,9,6.0
fake57,3,4,5,3.0
fake58,3,4,7,5.0
fake59,3,5,1,9.0
fake60,3,5,2,1.0
fake61,3,5,4,3.0
fake62,3,5,6,5.0
fake63,3,5,7,6.0
fake64,3,6,1,1.0
fake65,3,6,5,5.0
fake66,3,6,6,6.0
fake67,3,6,9,9.0
fake68,3,7,1,2.0
fake69,3,7,2,3.0
fake70,3,7,3,4.0
fake71,3,7,6,7.0
fake72,3,7,7,8.0
fake73,3,8,1,3.0
fake74,3,8,4,6.0
fake75,3,8,8,1.0
fake76,3,9,2,5.0
fake77,3,9,4,7.0
fake78,3,9,7,1.0
fake79,3,9,8,2.0
fake80,4,1,7,3.0
fake81,4,2,6,3.0
fake82,4,2,7,4.0
fake83,4,2,8,5.0
fake84,4,2,9,6.0
fake85,4,3,9,7.0
fake86,4,4,1,9.0
fake87,4,4,3,2.0
fake88,4,4,4,3.0
fake89,4,4,7,6.0
fake90,4,4,9,8.0
fake91,4,5,5,5.0
fake92,4,5,6,6.0
fake93,4,5,8,8.0
fake94,4,5,9,9.0
fake95,4,6,2,3.0
fake96,4,6,3,4.0
fake97,4,6,8,9.0
fake98,4,6,9,1.0
fake99,4,7,2,4.0
fake100,4,7,8,1.0
fake101,4,7,9,2.0
fake102,4,8,1,4.0
fake103,4,8,5,8.0
fake104,4,8,6,9.0
fake105,4,9,7,2.0
fake106,5,1,1,7.0
fake107,5,1,2,8.0
fake108,5,1,4,1.0
fake109,5,1,5,2.0
fake110,5,1,6,3.0
fake111,5,1,7,4.0
fake112,5,1,9,6.0
fake113,5,2,1,8.0
fake114,5,2,3,1.0
fake115,5,2,6,4.0
fake116,5,2,8,6.0
fake117,5,3,3,2.0
fake118,5,3,5,4.0
fake119,5,4,4,4.0
fake120,5,4,7,7.0
fake121,5,5,5,6.0
fake122,5,5,7,8.0
fake123,5,5,8,9.0
fake124,5,6,9,2.0
fake125,5,7,2,5.0
fake126,5,8,5,9.0
fake127,5,8,8,3.0
fake128,5,9,2,7.0
fake129,5,9,4,9.0
fake130,5,9,5,1.0
fake131,5,9,6,2.0
fake132,5,9,8,4.0
fake133,6,1,4,2.0
fake134,6,1,7,5.0
fake135,6,2,2,1.0
fake136,6,3,1,1.0
fake137,6,3,3,3.0
fake138,6,3,5,5.0
fake139,6,3,7,7.0
fake140,6,3,9,9.0
fake141,6,4,4,5.0
fake142,6,5,2,4.0
fake143,6,6,6,9.0
fake144,6,6,7,1.0
fake145,6,7,4,8.0
fake146,6,7,5,9.0
fake147,6,7,8,3.0
fake148,6,8,1,6.0
fake149,6,8,6,2.0
fake150,6,8,7,3.0
fake151,6,9,2,8.0
fake152,6,9,4,1.0
fake153,6,9,5,2.0
fake154,6,9,6,3.0
fake155,6,9,7,4.0
fake156,7,1,2,1.0
fake157,7,1,3,2.0
fake158,7,1,4,3.0
fake159,7,1,5,4.0
fake160,7,2,2,2.0
fake161,7,2,4,4.0
fake162,7,2,8,8.0
fake163,7,2,9,9.0
fake164,7,3,2,3.0
fake165,7,3,7,8.0
fake166,7,3,9,1.0
fake167,7,4,4,6.0
fake168,7,4,6,8.0
fake169,7,4,9,2.0
fake170,7,5,5,8.0
fake171,7,5,6,9.0
fake172,7,5,7,1.0
fake173,7,6,3,7.0
fake174,7,7,6,2.0
fake175,7,7,7,3.0
fake176,7,7,9,5.0
fake177,7,8,2,8.0
fake178,7,8,8,5.0
fake179,7,9,3,1.0
fake180,7,9,5,3.0
fake181,7,9,8,6.0
fake182,8,1,1,1.0
fake183,8,1,6,6.0
fake184,8,2,1,2.0
fake185,8,2,2,3.0
fake186,8,2,4,5.0
fake187,8,2,6,7.0
fake188,8,2,8,9.0
fake189,8,2,9,1.0
fake190,8,3,1,3.0
fake191,8,3,3,5.0
fake192,8,3,5,7.0
fake193,8,4,1,4.0
fake194,8,4,2,5.0
fake195,8,4,5,8.0
fake196,8,4,8,2.0
fake197,8,5,1,5.0
fake198,8,5,8,3.0
fake199,8,6,2,7.0
fake200,8,6,6,2.0
fake201,8,6,8,4.0
fake202,8,7,1,7.0
fake203,8,7,3,9.0
fake204,8,8,2,9.0
fake205,8,8,4,2.0
fake206,8,8,7,5.0
fake207,8,8,8,6.0
fake208,8,9,4,3.0
fake209,8,9,5,4.0
fake210,8,9,6,5.0
fake211,8,9,9,8.0
fake212,9,1,2,3.0
fake213,9,1,5,6.0
fake214,9,1,6,7.0
fake215,9,1,8,9.0
fake216,9,1,9,1.0
fake217,9,2,5,7.0
fake218,9,2,6,8.0
fake219,9,3,4,7.0
fake220,9,3,7,1.0
fake221,9,4,4,8.0
fake222,9,4,5,9.0
fake223,9,4,6,1.0
fake224,9,4,8,3.0
fake225,9,5,1,6.0
fake226,9,5,4,9.0
fake227,9,5,7,3.0
fake228,9,5,8,4.0
fake229,9,5,9,5.0
fake230,9,6,5,2.0
fake231,9,7,1,8.0
fake232,9,7,2,9.0
fake233,9,7,9,7.0
fake234,9,8,3,2.0
fake235,9,9,1,1.0
fake236,9,9,7,7.0
fake237,9,9,9,9.0
